wage,hours,IQ,educ,exper,tenure,age,married,black,meduc
76900.0,40.0,93.0,12.0,11.0,2.0,31.0,1,0,8.0
80800.0,50.0,119.0,18.0,11.0,16.0,37.0,1,0,14.0
82500.0,40.0,108.0,14.0,11.0,9.0,33.0,1,0,14.0
65000.0,40.0,96.0,12.0,13.0,7.0,32.0,1,0,12.0
56200.0,40.0,74.0,11.0,14.0,5.0,34.0,1,0,6.0
140000.0,40.0,116.0,16.0,14.0,2.0,35.0,1,1,8.0
60000.0,40.0,91.0,10.0,13.0,0.0,30.0,0,0,8.0
108100.0,40.0,114.0,18.0,8.0,14.0,38.0,1,0,8.0
115400.0,45.0,111.0,15.0,13.0,1.0,36.0,1,0,14.0
100000.0,40.0,95.0,12.0,16.0,16.0,36.0,1,0,12.0
93000.0,43.0,132.0,18.0,8.0,13.0,38.0,1,0,13.0
92100.0,38.0,102.0,14.0,9.0,11.0,33.0,1,0,16.0
90000.0,45.0,125.0,15.0,4.0,3.0,30.0,0,0,12.0
131800.0,38.0,119.0,16.0,7.0,2.0,28.0,1,0,10.0
179200.0,40.0,118.0,16.0,9.0,9.0,34.0,1,0,12.0
95800.0,50.0,105.0,10.0,17.0,2.0,35.0,1,0,6.0
136000.0,45.0,109.0,15.0,6.0,9.0,36.0,1,0,12.0
85000.0,40.0,72.0,11.0,19.0,10.0,38.0,1,0,10.0
83000.0,44.0,105.0,14.0,4.0,7.0,29.0,1,0,12.0
47100.0,44.0,101.0,12.0,13.0,7.0,31.0,1,0,8.0
127500.0,40.0,123.0,14.0,9.0,1.0,31.0,1,0,12.0
161500.0,50.0,113.0,16.0,10.0,4.0,36.0,1,0,12.0
87300.0,65.0,95.0,12.0,14.0,3.0,38.0,1,0,10.0
213700.0,45.0,145.0,16.0,17.0,8.0,38.0,1,0,12.0
105300.0,38.0,114.0,16.0,12.0,7.0,32.0,1,0,11.0
160200.0,60.0,124.0,16.0,8.0,9.0,29.0,1,0,16.0
118800.0,40.0,93.0,13.0,16.0,5.0,35.0,1,0,12.0
80000.0,40.0,115.0,18.0,11.0,1.0,35.0,1,0,8.0
141700.0,48.0,125.0,17.0,9.0,4.0,34.0,1,0,13.0
63500.0,40.0,128.0,18.0,8.0,13.0,36.0,0,0,16.0
100000.0,40.0,103.0,12.0,17.0,2.0,34.0,1,0,8.0
142400.0,50.0,98.0,14.0,15.0,4.0,35.0,1,0,12.0
266800.0,75.0,108.0,13.0,12.0,2.0,32.0,1,0,12.0
66600.0,75.0,129.0,18.0,8.0,12.0,38.0,1,0,18.0
177900.0,40.0,132.0,17.0,8.0,9.0,32.0,1,0,17.0
78200.0,40.0,92.0,13.0,9.0,10.0,31.0,1,0,8.0
157200.0,35.0,108.0,14.0,7.0,5.0,28.0,1,1,12.0
127400.0,40.0,106.0,13.0,11.0,12.0,31.0,1,0,15.0
71400.0,35.0,105.0,16.0,9.0,2.0,29.0,1,0,13.0
108100.0,40.0,123.0,18.0,11.0,7.0,36.0,1,0,12.0
69200.0,40.0,108.0,12.0,21.0,11.0,38.0,1,0,8.0
131800.0,38.0,122.0,17.0,10.0,9.0,33.0,1,0,12.0
123900.0,45.0,109.0,12.0,16.0,4.0,38.0,1,0,12.0
102700.0,27.0,100.0,13.0,12.0,15.0,38.0,1,0,10.0
174800.0,55.0,125.0,18.0,12.0,12.0,34.0,1,0,14.0
98100.0,40.0,122.0,14.0,9.0,15.0,35.0,0,0,12.0
77000.0,40.0,105.0,17.0,7.0,11.0,30.0,1,0,12.0
115400.0,50.0,94.0,16.0,11.0,5.0,33.0,1,0,12.0
115500.0,40.0,102.0,12.0,16.0,5.0,34.0,1,0,12.0
80800.0,60.0,109.0,13.0,14.0,12.0,38.0,1,0,12.0
110000.0,40.0,105.0,12.0,22.0,14.0,38.0,1,0,12.0
115400.0,40.0,134.0,18.0,10.0,10.0,37.0,1,0,12.0
174900.0,40.0,108.0,12.0,13.0,9.0,29.0,0,0,12.0
100000.0,50.0,104.0,16.0,11.0,8.0,30.0,1,0,12.0
46200.0,40.0,112.0,12.0,11.0,1.0,29.0,1,0,12.0
76900.0,55.0,120.0,18.0,8.0,12.0,32.0,0,0,11.0
87500.0,50.0,124.0,16.0,9.0,3.0,31.0,0,0,17.0
137500.0,40.0,103.0,12.0,12.0,7.0,29.0,1,0,12.0
145200.0,45.0,115.0,17.0,1.0,7.0,30.0,1,0,12.0
80000.0,40.0,96.0,12.0,17.0,12.0,35.0,1,0,6.0
174800.0,55.0,123.0,17.0,10.0,7.0,36.0,1,0,12.0
115100.0,40.0,98.0,12.0,12.0,12.0,29.0,1,0,12.0
84000.0,50.0,96.0,12.0,18.0,13.0,35.0,1,0,12.0
97800.0,45.0,89.0,12.0,17.0,2.0,38.0,1,0,12.0
96300.0,40.0,109.0,12.0,15.0,15.0,37.0,0,0,12.0
61900.0,42.0,93.0,12.0,10.0,10.0,28.0,0,0,9.0
44200.0,60.0,82.0,12.0,12.0,0.0,33.0,1,0,12.0
60000.0,40.0,120.0,15.0,12.0,1.0,38.0,1,0,12.0
136600.0,38.0,122.0,12.0,15.0,15.0,32.0,1,0,12.0
164300.0,48.0,117.0,18.0,8.0,2.0,33.0,1,0,12.0
145500.0,40.0,109.0,16.0,8.0,13.0,36.0,1,0,8.0
231000.0,40.0,114.0,18.0,12.0,7.0,38.0,1,0,12.0
168200.0,45.0,126.0,16.0,10.0,11.0,31.0,1,0,12.0
123500.0,40.0,82.0,12.0,10.0,2.0,33.0,1,0,11.0
85500.0,45.0,119.0,16.0,11.0,4.0,32.0,1,0,12.0
107200.0,42.0,104.0,16.0,6.0,8.0,35.0,1,0,12.0
104000.0,40.0,115.0,15.0,8.0,15.0,35.0,1,0,12.0
100000.0,50.0,97.0,12.0,17.0,15.0,36.0,1,0,12.0
67500.0,40.0,105.0,15.0,8.0,2.0,31.0,1,0,14.0
110000.0,37.0,100.0,12.0,14.0,1.0,30.0,1,0,7.0
99600.0,50.0,114.0,12.0,5.0,14.0,31.0,1,0,12.0
73200.0,40.0,73.0,10.0,17.0,5.0,36.0,1,0,12.0
120000.0,40.0,96.0,11.0,15.0,3.0,37.0,1,0,8.0
169400.0,30.0,113.0,15.0,9.0,8.0,29.0,0,0,12.0
68600.0,55.0,106.0,10.0,15.0,3.0,36.0,1,0,14.0
75400.0,40.0,104.0,13.0,9.0,5.0,32.0,1,0,8.0
85700.0,35.0,80.0,10.0,14.0,15.0,33.0,1,0,12.0
83200.0,50.0,104.0,13.0,4.0,2.0,30.0,1,0,12.0
57900.0,44.0,122.0,13.0,8.0,1.0,30.0,1,0,16.0
67200.0,61.0,96.0,12.0,13.0,3.0,34.0,1,0,12.0
250000.0,40.0,95.0,15.0,12.0,9.0,36.0,1,0,16.0
107600.0,45.0,105.0,12.0,5.0,8.0,31.0,0,0,16.0
75000.0,40.0,94.0,12.0,16.0,3.0,37.0,1,1,8.0
118600.0,30.0,91.0,17.0,8.0,9.0,33.0,1,0,12.0
83300.0,48.0,96.0,16.0,9.0,7.0,31.0,1,0,12.0
65000.0,40.0,69.0,12.0,14.0,11.0,30.0,1,1,10.0
125000.0,46.0,110.0,12.0,5.0,16.0,38.0,1,0,12.0
112200.0,48.0,111.0,15.0,12.0,9.0,31.0,1,0,9.0
86500.0,40.0,110.0,16.0,1.0,11.0,31.0,1,0,9.0
80800.0,40.0,97.0,16.0,10.0,7.0,29.0,1,0,9.0
129900.0,60.0,125.0,18.0,6.0,12.0,35.0,0,0,8.0
90300.0,40.0,91.0,12.0,6.0,12.0,36.0,1,0,9.0
90000.0,40.0,86.0,12.0,17.0,15.0,37.0,1,0,8.0
62500.0,40.0,110.0,12.0,18.0,0.0,35.0,1,0,9.0
158600.0,40.0,92.0,14.0,16.0,1.0,36.0,1,0,12.0
96200.0,40.0,85.0,10.0,15.0,16.0,38.0,1,0,9.0
153900.0,45.0,120.0,17.0,7.0,8.0,34.0,1,0,8.0
111000.0,52.0,106.0,12.0,11.0,6.0,33.0,1,0,12.0
128200.0,45.0,112.0,16.0,6.0,6.0,31.0,0,0,12.0
77000.0,48.0,91.0,12.0,13.0,2.0,38.0,1,0,10.0
100000.0,45.0,90.0,12.0,16.0,0.0,38.0,1,0,10.0
89500.0,40.0,86.0,9.0,17.0,16.0,38.0,1,1,12.0
120500.0,40.0,86.0,10.0,13.0,0.0,32.0,1,1,8.0
75000.0,40.0,113.0,12.0,11.0,10.0,29.0,1,0,12.0
65400.0,50.0,111.0,13.0,5.0,16.0,38.0,1,0,12.0
60100.0,48.0,111.0,12.0,15.0,3.0,33.0,1,0,12.0
60000.0,40.0,106.0,13.0,10.0,11.0,28.0,1,0,8.0
43300.0,40.0,98.0,12.0,11.0,10.0,30.0,0,0,12.0
118800.0,40.0,105.0,12.0,11.0,7.0,30.0,1,0,12.0
63500.0,40.0,105.0,12.0,15.0,15.0,33.0,1,0,10.0
122500.0,40.0,118.0,13.0,9.0,14.0,32.0,1,0,12.0
115100.0,45.0,90.0,12.0,19.0,19.0,36.0,1,0,12.0
86500.0,40.0,95.0,12.0,15.0,11.0,32.0,0,0,9.0
103100.0,40.0,112.0,14.0,9.0,5.0,29.0,1,0,12.0
104900.0,55.0,120.0,12.0,9.0,11.0,32.0,1,0,12.0
100000.0,45.0,123.0,12.0,12.0,1.0,29.0,1,0,12.0
110500.0,40.0,103.0,13.0,10.0,11.0,30.0,1,0,16.0
192400.0,50.0,121.0,18.0,11.0,7.0,35.0,1,0,16.0
134600.0,40.0,90.0,16.0,9.0,16.0,38.0,1,0,12.0
80900.0,65.0,125.0,12.0,11.0,10.0,29.0,1,0,12.0
149500.0,45.0,109.0,18.0,10.0,3.0,32.0,1,0,9.0
134600.0,50.0,128.0,16.0,10.0,1.0,33.0,0,0,10.0
120000.0,40.0,97.0,12.0,10.0,4.0,31.0,1,0,12.0
50000.0,40.0,96.0,12.0,6.0,0.0,33.0,1,0,12.0
132500.0,45.0,97.0,12.0,12.0,5.0,28.0,1,0,12.0
90000.0,40.0,78.0,12.0,16.0,5.0,33.0,1,1,7.0
80000.0,40.0,112.0,12.0,15.0,3.0,34.0,1,0,7.0
80000.0,40.0,88.0,12.0,16.0,7.0,38.0,1,0,2.0
103400.0,40.0,97.0,12.0,15.0,16.0,36.0,1,0,14.0
98000.0,40.0,101.0,12.0,4.0,12.0,36.0,1,0,6.0
88400.0,40.0,106.0,10.0,19.0,12.0,34.0,1,0,7.0
48000.0,40.0,59.0,10.0,11.0,5.0,34.0,0,0,8.0
92300.0,40.0,105.0,18.0,7.0,14.0,34.0,1,0,12.0
51300.0,45.0,119.0,17.0,8.0,5.0,31.0,0,0,12.0
110500.0,40.0,93.0,11.0,17.0,16.0,37.0,0,0,8.0
119300.0,50.0,82.0,12.0,19.0,10.0,36.0,1,0,12.0
277100.0,50.0,134.0,18.0,6.0,7.0,34.0,1,0,16.0
77900.0,40.0,84.0,12.0,9.0,6.0,30.0,1,0,8.0
95000.0,60.0,98.0,11.0,13.0,6.0,31.0,1,0,12.0
139400.0,40.0,118.0,16.0,11.0,8.0,30.0,1,0,13.0
149500.0,45.0,113.0,17.0,13.0,9.0,33.0,1,0,12.0
65000.0,40.0,100.0,12.0,4.0,3.0,28.0,1,0,9.0
67000.0,40.0,93.0,13.0,9.0,5.0,29.0,1,0,12.0
112600.0,40.0,119.0,16.0,5.0,8.0,32.0,1,0,12.0
45000.0,64.0,67.0,12.0,11.0,1.0,33.0,0,1,11.0
102800.0,40.0,111.0,12.0,19.0,12.0,37.0,1,1,12.0
240400.0,50.0,106.0,15.0,8.0,0.0,32.0,1,0,12.0
189900.0,40.0,127.0,18.0,9.0,14.0,36.0,0,0,10.0
75700.0,40.0,113.0,16.0,10.0,9.0,33.0,1,0,12.0
125000.0,40.0,115.0,14.0,9.0,1.0,29.0,1,0,12.0
116200.0,48.0,102.0,16.0,8.0,11.0,31.0,1,0,12.0
102500.0,40.0,85.0,15.0,9.0,13.0,29.0,1,1,14.0
110000.0,50.0,117.0,16.0,11.0,12.0,32.0,1,0,12.0
71400.0,35.0,125.0,16.0,7.0,5.0,28.0,1,0,10.0
131800.0,35.0,118.0,16.0,16.0,17.0,37.0,1,0,8.0
141100.0,45.0,121.0,18.0,14.0,3.0,38.0,1,0,12.0
216200.0,40.0,115.0,17.0,4.0,4.0,38.0,1,0,12.0
127300.0,55.0,120.0,14.0,11.0,16.0,36.0,1,0,12.0
114000.0,48.0,109.0,12.0,16.0,15.0,35.0,1,0,11.0
57800.0,40.0,109.0,13.0,7.0,4.0,30.0,0,0,12.0
94200.0,40.0,85.0,12.0,7.0,10.0,38.0,1,0,12.0
105800.0,40.0,85.0,12.0,17.0,8.0,38.0,1,0,12.0
75000.0,40.0,106.0,14.0,9.0,9.0,29.0,1,0,11.0
100000.0,60.0,101.0,12.0,11.0,6.0,30.0,1,0,10.0
95100.0,60.0,116.0,12.0,9.0,7.0,30.0,1,0,12.0
63500.0,47.0,91.0,12.0,13.0,2.0,31.0,1,0,7.0
125000.0,40.0,91.0,12.0,13.0,1.0,34.0,1,0,11.0
67500.0,40.0,110.0,12.0,6.0,15.0,34.0,1,0,7.0
40000.0,40.0,75.0,12.0,11.0,6.0,32.0,1,0,7.0
57700.0,50.0,94.0,12.0,9.0,8.0,29.0,1,0,12.0
59000.0,40.0,109.0,13.0,10.0,7.0,29.0,1,0,12.0
92300.0,50.0,122.0,16.0,10.0,10.0,31.0,1,0,8.0
125000.0,50.0,102.0,12.0,6.0,2.0,32.0,0,0,11.0
110000.0,40.0,122.0,14.0,11.0,8.0,33.0,1,0,8.0
113000.0,50.0,105.0,12.0,18.0,2.0,37.0,1,0,10.0
65200.0,50.0,113.0,12.0,14.0,4.0,36.0,0,0,9.0
61800.0,42.0,104.0,12.0,6.0,2.0,30.0,1,0,8.0
96200.0,50.0,124.0,16.0,7.0,14.0,34.0,1,0,9.0
52900.0,40.0,110.0,13.0,14.0,11.0,32.0,1,0,12.0
81700.0,40.0,95.0,12.0,16.0,14.0,33.0,1,0,12.0
96200.0,40.0,120.0,16.0,8.0,9.0,32.0,1,0,18.0
84000.0,40.0,105.0,12.0,19.0,15.0,38.0,1,0,12.0
86600.0,40.0,121.0,16.0,7.0,4.0,28.0,1,0,12.0
240400.0,50.0,96.0,14.0,1.0,1.0,36.0,1,0,8.0
112600.0,40.0,110.0,12.0,16.0,2.0,32.0,1,0,9.0
116000.0,40.0,92.0,12.0,8.0,8.0,31.0,1,0,12.0
72300.0,40.0,98.0,12.0,15.0,5.0,38.0,1,0,9.0
177800.0,40.0,109.0,16.0,14.0,13.0,36.0,1,0,11.0
190300.0,48.0,118.0,18.0,13.0,5.0,36.0,1,0,11.0
101000.0,40.0,97.0,18.0,7.0,14.0,34.0,1,0,14.0
97100.0,40.0,95.0,17.0,5.0,11.0,37.0,1,0,16.0
52500.0,40.0,99.0,12.0,9.0,2.0,34.0,1,0,10.0
52500.0,40.0,106.0,12.0,12.0,13.0,30.0,1,0,10.0
67000.0,45.0,117.0,12.0,10.0,3.0,30.0,1,0,12.0
50000.0,45.0,90.0,12.0,19.0,4.0,37.0,1,0,12.0
105800.0,45.0,98.0,14.0,14.0,15.0,34.0,1,0,12.0
55000.0,46.0,95.0,12.0,18.0,15.0,35.0,1,0,12.0
50000.0,45.0,115.0,12.0,14.0,1.0,32.0,1,0,12.0
72700.0,55.0,106.0,15.0,10.0,5.0,31.0,0,0,12.0
86500.0,40.0,114.0,12.0,6.0,8.0,30.0,1,0,8.0
108100.0,40.0,92.0,13.0,8.0,2.0,30.0,1,0,12.0
130400.0,45.0,119.0,17.0,9.0,9.0,31.0,1,0,13.0
57500.0,40.0,85.0,13.0,6.0,1.0,30.0,1,0,13.0
62300.0,45.0,98.0,16.0,7.0,1.0,30.0,1,0,12.0
51500.0,45.0,114.0,13.0,8.0,10.0,28.0,1,0,12.0
127300.0,55.0,84.0,18.0,14.0,4.0,37.0,1,0,8.0
99000.0,40.0,108.0,13.0,13.0,9.0,33.0,1,0,16.0
60000.0,40.0,107.0,12.0,16.0,6.0,33.0,1,0,8.0
116000.0,40.0,84.0,12.0,17.0,2.0,38.0,1,0,16.0
50000.0,55.0,86.0,12.0,11.0,9.0,29.0,1,0,10.0
79500.0,45.0,88.0,12.0,17.0,18.0,35.0,1,0,10.0
50000.0,50.0,97.0,11.0,20.0,3.0,37.0,1,0,12.0
74000.0,50.0,84.0,10.0,23.0,13.0,38.0,1,0,12.0
125000.0,40.0,117.0,16.0,10.0,7.0,33.0,1,0,12.0
101400.0,55.0,110.0,16.0,13.0,9.0,30.0,0,0,12.0
125000.0,32.0,104.0,13.0,13.0,3.0,33.0,1,0,9.0
91300.0,40.0,110.0,14.0,4.0,13.0,29.0,1,0,9.0
134600.0,40.0,99.0,16.0,9.0,8.0,30.0,1,0,11.0
44500.0,40.0,80.0,10.0,19.0,0.0,38.0,1,0,12.0
26500.0,40.0,101.0,12.0,18.0,2.0,37.0,1,0,12.0
125000.0,40.0,117.0,14.0,7.0,1.0,28.0,1,0,12.0
160700.0,56.0,108.0,13.0,7.0,9.0,36.0,1,0,12.0
145200.0,35.0,69.0,16.0,12.0,15.0,38.0,1,1,10.0
139100.0,50.0,109.0,12.0,14.0,8.0,32.0,1,1,11.0
82100.0,45.0,85.0,16.0,8.0,2.0,32.0,1,0,8.0
79400.0,40.0,114.0,16.0,9.0,7.0,29.0,1,0,11.0
50000.0,30.0,90.0,13.0,10.0,1.0,38.0,1,0,12.0
52000.0,50.0,107.0,18.0,6.0,3.0,29.0,1,0,12.0
173000.0,50.0,117.0,18.0,12.0,12.0,37.0,1,0,12.0
192400.0,50.0,112.0,18.0,9.0,10.0,38.0,1,0,16.0
115500.0,60.0,106.0,18.0,10.0,2.0,37.0,1,0,14.0
216200.0,40.0,116.0,15.0,9.0,4.0,31.0,1,0,12.0
92300.0,50.0,123.0,14.0,8.0,7.0,31.0,1,0,8.0
111500.0,40.0,118.0,16.0,12.0,13.0,33.0,1,0,8.0
44900.0,36.0,91.0,12.0,7.0,2.0,30.0,0,0,12.0
150000.0,40.0,103.0,12.0,10.0,11.0,34.0,1,0,12.0
82600.0,40.0,114.0,14.0,20.0,3.0,37.0,1,0,8.0
93700.0,40.0,102.0,12.0,16.0,8.0,35.0,1,0,12.0
97800.0,48.0,104.0,12.0,19.0,15.0,36.0,1,0,6.0
103100.0,40.0,112.0,14.0,14.0,12.0,33.0,0,0,14.0
127200.0,40.0,107.0,12.0,10.0,1.0,30.0,1,0,12.0
113600.0,50.0,117.0,14.0,16.0,12.0,34.0,1,0,12.0
80000.0,45.0,110.0,12.0,19.0,12.0,36.0,1,0,12.0
133900.0,38.0,96.0,12.0,8.0,9.0,33.0,1,0,12.0
106300.0,40.0,90.0,12.0,14.0,12.0,32.0,1,1,8.0
93500.0,44.0,97.0,12.0,10.0,6.0,29.0,1,0,8.0
80800.0,40.0,99.0,12.0,18.0,13.0,38.0,1,1,9.0
37500.0,40.0,99.0,10.0,12.0,2.0,30.0,1,0,8.0
53700.0,40.0,97.0,12.0,14.0,8.0,31.0,0,1,11.0
108200.0,55.0,95.0,12.0,11.0,4.0,29.0,1,1,11.0
93000.0,40.0,126.0,14.0,10.0,1.0,31.0,0,0,8.0
115500.0,40.0,109.0,17.0,13.0,4.0,38.0,1,0,12.0
54800.0,40.0,86.0,11.0,7.0,0.0,33.0,1,1,11.0
62200.0,45.0,119.0,16.0,12.0,1.0,33.0,1,0,12.0
84100.0,40.0,102.0,16.0,10.0,1.0,29.0,1,0,12.0
76900.0,55.0,105.0,18.0,7.0,15.0,38.0,0,0,9.0
58700.0,38.0,117.0,17.0,8.0,5.0,29.0,1,0,12.0
192400.0,45.0,112.0,16.0,17.0,18.0,38.0,1,0,12.0
105800.0,40.0,89.0,12.0,7.0,3.0,29.0,1,0,8.0
41700.0,48.0,131.0,12.0,7.0,1.0,28.0,0,0,12.0
120200.0,48.0,114.0,16.0,6.0,6.0,28.0,1,0,16.0
115400.0,40.0,98.0,14.0,18.0,2.0,37.0,1,0,10.0
107000.0,40.0,124.0,13.0,4.0,9.0,32.0,1,0,12.0
120200.0,40.0,125.0,14.0,10.0,11.0,29.0,1,0,12.0
71100.0,45.0,100.0,18.0,13.0,3.0,36.0,1,0,10.0
120200.0,40.0,84.0,14.0,6.0,5.0,31.0,1,1,11.0
85000.0,43.0,113.0,12.0,7.0,3.0,28.0,1,0,8.0
100000.0,40.0,102.0,16.0,13.0,11.0,35.0,1,0,10.0
49000.0,49.0,82.0,18.0,7.0,8.0,31.0,0,0,12.0
100000.0,40.0,112.0,14.0,15.0,4.0,35.0,1,0,12.0
86500.0,40.0,111.0,16.0,11.0,4.0,31.0,1,0,8.0
137500.0,40.0,96.0,13.0,3.0,3.0,30.0,1,0,11.0
158600.0,40.0,127.0,16.0,16.0,12.0,37.0,1,0,16.0
160200.0,65.0,97.0,15.0,14.0,14.0,37.0,1,0,8.0
307800.0,65.0,120.0,14.0,12.0,13.0,36.0,1,0,12.0
89800.0,40.0,101.0,16.0,7.0,9.0,35.0,0,0,16.0
90600.0,40.0,120.0,14.0,16.0,2.0,37.0,1,0,12.0
95200.0,40.0,99.0,13.0,10.0,10.0,31.0,1,1,8.0
57100.0,40.0,78.0,13.0,10.0,1.0,29.0,0,1,8.0
44500.0,45.0,110.0,12.0,15.0,13.0,32.0,0,0,5.0
28900.0,40.0,94.0,12.0,9.0,0.0,30.0,1,0,5.0
144400.0,40.0,120.0,16.0,12.0,15.0,37.0,1,0,17.0
96200.0,55.0,108.0,12.0,19.0,21.0,36.0,1,0,8.0
107500.0,40.0,103.0,12.0,17.0,10.0,33.0,1,0,11.0
90900.0,55.0,97.0,11.0,17.0,5.0,35.0,1,0,12.0
125000.0,40.0,106.0,12.0,14.0,19.0,35.0,1,0,11.0
62000.0,40.0,99.0,11.0,10.0,5.0,29.0,1,1,12.0
101600.0,40.0,72.0,10.0,14.0,15.0,37.0,1,1,11.0
80000.0,40.0,88.0,10.0,21.0,14.0,37.0,1,1,11.0
105000.0,40.0,119.0,16.0,7.0,18.0,37.0,0,0,12.0
107900.0,50.0,87.0,12.0,18.0,9.0,36.0,1,0,8.0
65400.0,50.0,121.0,17.0,12.0,13.0,34.0,1,0,11.0
78100.0,50.0,112.0,12.0,8.0,10.0,30.0,1,0,12.0
103800.0,48.0,103.0,15.0,8.0,2.0,36.0,1,0,12.0
192400.0,50.0,99.0,16.0,16.0,14.0,37.0,1,0,16.0
120200.0,40.0,101.0,15.0,15.0,17.0,37.0,1,0,12.0
66600.0,70.0,117.0,15.0,8.0,2.0,32.0,1,0,12.0
90500.0,45.0,109.0,14.0,11.0,14.0,36.0,1,0,8.0
89000.0,70.0,73.0,12.0,6.0,8.0,31.0,1,0,12.0
